"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Chatham House Online Archive","Cerrado","Completo","Reportes Técnicos  , Recursos Archivísticos  , ...","Más información"
"Académica : innovación digital de conocimiento","Abierto","Completo","Biblioteca Digital  , Revistas","Más información"
"ACLS Humanities E-book","Cerrado","Completo","Libros Electrónicos","Más información"
"American journal of political science","Cerrado","Completo","Revistas","320.5 / A512 Más información"
"American Society for Public Administration","Cerrado","Referencia","Organizaciones de Profesionales","Más información"
"Annual Review of Law and Social Sciences","Cerrado","Completo","Revistas","Más información"
"Annual review of political science","Cerrado","Completo","Revistas","320.58 A6155 Más información"
"Annual Reviews","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
"Archivo Electrónico Ricardo Flores Magón","Abierto","Completo","Biblioteca Digital  , Fuentes Primarias  , Fotogr...","Más información"
"Bases de datos bibliográficas de la Comisión Económica para América Latina y el Caribe (CEPAL)","Abierto","Parcial","Recursos Bibliotecológicos  , Biblioteca Digital...","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Biblioteca digital mundial","Abierto","Completo","Fotografías  , Biblioteca Digital","Más información"
"Biblioteca digital. Universidad Iberoamericana","Abierto","Parcial","Biblioteca Digital","Más información"
"Biblioteca Jurídica Virtual","Abierto","Completo","Libros Electrónicos  , Documentos de Trabajo  , ...","Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"Cairn.info","Cerrado","Parcial","Revistas  , Libros Electrónicos","Más información"
"Canadian journal of political science","Cerrado","Completo","Revistas","Más información"
"Canadian public administration","Cerrado","Completo","Revistas","350.5/C213 Más información"
"Catalog of U.S. Government Publications","Abierto","Parcial","Publicaciones Oficiales  , Catálogos de Bibliote...","Más información"
"Center for Public Integrity","Abierto","Completo","Organizaciones de Profesionales","Más información"
"Centro de Estudios Espinosa Yglesia","Abierto","Parcial","Centro de Investigación  , Documentos de Trabajo...","Más información"
"Centro Latinoamericano de Administración para el Desarrollo","Abierto","Referencia","Organizaciones de Profesionales","Más información"
"Choice reviews online","Cerrado","Completo","Revistas  , Reseñas","016.7805/Ch545 Más información"
"CIA world factbook","Abierto","Completo","Información Geográfica  , Mapas  , Publicacione...","Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
