"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Acta asiática","Cerrado","No Aplica","Revistas","915.005/A188 Más información"
"Ali, Sheikh Rustum.   The international organizations and world order dictionary","Abierto","No Aplica","Libros Electrónicos","341.1103 A398in Más información"
"American Asian review: an international journal on modern and contemporary Asia","Cerrado","No Aplica","Revistas","950.05/A512 Más información"
"Anu College of Asia and the Pacific","Abierto","Parcial","Guías","Más información"
"Asia Society","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Asia-Pacific economic review","Abierto","Completo","Revistas","Más información"
"Asian affairs","Cerrado","Completo","Revistas","327.5/A832 Más información"
"Asian Arts","Abierto","Completo","Imágenes  , Fotografías  , Artículos de Revist...","Más información"
"Asian pacific economic literature","Cerrado","Completo","Revistas","330.9505/A832 Más información"
"Asian survey","Abierto","Completo","Revistas","320.95/A832 Más información"
"Association of Southeast Asian Nations","Abierto","Parcial","Directorios  , Estadísticas  , Financiamiento & ...","Más información"
"AULEX  Diccionario Japonés Español","Abierto","No Aplica","Diccionarios","Más información"
"Bibliography of Asian Studies","Cerrado","Parcial","Artículos de Revistas","Más información"
"Bibliography of japanese history up to 1912","Abierto","Referencia","Bibliografía","Más información"
"Bulletin of asia pacific studies","Abierto","No Aplica","Revistas","950.05/B9361 Más información"
"CCPN Goblal China","Abierto","Parcial","Documentos de Trabajo  , Organizaciones de Profes...","Más información"
"CEAA: Centro de Estudios de Asia y África","Abierto","Referencia","Guías","Más información"
"Center for East Asian Studies: instructional videos","Abierto","No Aplica","Videos","Más información"
"Centre for Criminology. The University of Hong Kong","Cerrado","Parcial","Bibliografía  , Documentos de Trabajo","Más información"
"Centro de Estudios de Asia y África","Abierto","Parcial","Guías","Más información"
"China Journal, The","Cerrado","Parcial","Revistas","951.05/A938 Más información"
"China the Beautiful","Abierto","Parcial","Guías  , Imágenes  , Mapas","Más información"
"Chinese History","Abierto","Parcial","Guías","Más información"
"Critical Asian Studies","Cerrado","Completo","Revistas","950.05/B936 Más información"
"Databases for Korea Studies","Cerrado","Parcial","Guías","Más información"
"DC-Cam Documentation Center of Cambodia","Abierto","Parcial","Centro de Investigación","Más información"
"Digital Dictionaries of South Asia","Abierto","No Aplica","Diccionarios","Más información"
"Digital South Asia Library","Abierto","Parcial","Biblioteca Digital","Más información"
"East Asian History Sourcebook","Cerrado","Parcial","Imágenes  , Guías  , Mapas","Más información"
"East Asian Library Websites in North America A-Z","Abierto","No Aplica","Bibliotecas","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"El Ramayana y el Mahabharata","Abierto","Completo","Libros Electrónicos","Más información"
"Estudios de Asia y África","Cerrado","Completo","Revistas","950.05/E82 Más información"
"Ford Foundation, The","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Historic City of Ayutthaya,","Abierto","Completo","Fotografías  , Imágenes  , Información Geográ...","Más información"
"Hollis List","Abierto","Completo","Imágenes","Más información"
"IIAS Newsletter","Abierto","Falta determinar","Revistas","Más información"
"Illustrations of Japanese Life","Abierto","Parcial","Imágenes","Más información"
"India.gov.in","Abierto","Parcial","Publicaciones Oficiales  , Directorios","Más información"
"India.gov.in: National Portal of India","Abierto","Parcial","Mapas  , Publicaciones Oficiales","Más información"
"International Conference on Burma/Myanmar Studies","Abierto","Completo","Documentos de Trabajo  , Videos","Más información"
"International Journal of Korean History","Cerrado","No Aplica","Revistas","951.9005 / In6127 Más información"
"Internet Guide for Chinese Studies","Abierto","Parcial","Guías","Más información"
"Internet Indian History Sourcebook","Abierto","Falta determinar","Guías","Más información"
"Internet Resources for South Asian Studies","Abierto","Parcial","Guías","Más información"
"Japanese Art Society of  America","Abierto","Parcial","Imágenes  , Fotografías","Más información"
"Japanese Language and Literature","Cerrado","Parcial","Revistas","495.607 / J86 Más información"
"JGuide","Abierto","Parcial","Directorios","Más información"
"Journal of Asian Studies","Cerrado","Completo","Revistas","950.05/J86 Más información"
"Journal of East Asian affairs","Cerrado","No Aplica","Revistas","320.95/J86 Más información"
"Journal of Japanese studies","Cerrado","Completo","Revistas","915.2005/J86 Más información"
"Journal of Korean Studies, The","Cerrado","Completo","Revistas","Más información"
"Journal of the American Oriental Society","Abierto","No Aplica","Revistas","490.6/A512j Más información"
"Journal of the Economic and Social History of the Orient","Cerrado","Completo","Revistas","330.95/J86 Más información"
"Korea Focus","Abierto","Parcial","Revistas","Más información"
"Korea Journal","Cerrado","Completo","Revistas","Clasificación: 951.905 / K84 Más información"
"Korea newsreview","Cerrado","No Aplica","Revistas","951.9005/K84 Más información"
"Korea.net","Abierto","Parcial","Guías","Más información"
"Korean history:  a bibliography","Abierto","Parcial","Libros Electrónicos","Más información"
"Korean in Figures","Abierto","Parcial","Revistas","315.195/K842 Más información"
"Korean journal","Abierto","Completo","Revistas","951.905/K84 Más información"
"Korean social science journal","Abierto","No Aplica","Revistas","338.951905/K843 Más información"
"Korean studies","Cerrado","Completo","Revistas","Más información"
"Korean Studies: Duke University","Abierto","Parcial","Guías","Más información"
"Korean Women’s Development Institute","Abierto","Parcial","Biblioteca Digital  , Estadísticas","Más información"
"Koreana : a quarterly on Korean culture","Abierto","Completo","Revistas","709.519/K84 Más información"
"Malaysia","Abierto","Completo","Información Geográfica  , Imágenes  , Fotograf...","Más información"
"Map and Imagery Collections","Cerrado","Parcial","Mapas  , Imágenes","Más información"
"Modern China","Cerrado","Completo","Revistas","951.05/M689 Más información"
"Monumenta Nipponica","Cerrado","Referencia","Revistas","915.2/M815 Más información"
"Nan nu: women and gender in early and imperial china","Cerrado","Completo","Revistas","Más información"
"National Library of Korea Reference Room","Abierto","Parcial","Libros Electrónicos","Más información"
"New  Mandala","Abierto","Completo","Guías","Más información"
"Nihonshi kenkyu: Journal of Japanese history","Abierto","No Aplica","Revistas","J/952.05/J86 Más información"
"Nineteenth Century Collections Online: Asia and the West: Diplomacy and Cultural Exchange","Cerrado","Completo","Imágenes  , Fotografías  , Artículos de Revist...","Más información"
"Occasional Papers on Korea","Cerrado","Completo","Revistas","Más información"
"Population of Japan","Abierto","Parcial","Información Geográfica  , Estadísticas","Más información"
"Renditions","Abierto","No Aplica","Revistas","895.1/R397 Más información"
"Research Guide for Korean Studies","Abierto","Parcial","Guías","Más información"
"Road To East Asia","Abierto","Completo","Revistas","Más información"
"SEALG: Southeast Asia Library Group","Abierto","Parcial","Directorios","Más información"
"SEAsite","Abierto","Parcial","Guías  , Centro de Investigación","Más información"
"Seoul journal of Korean studies","Abierto","Referencia","Revistas","Más información"
"SIGI: Social Institutions and  Gender Index","Abierto","Completo","Información Geográfica  , Estadísticas","Más información"
"Social change : journal of the Council of Social Development","Cerrado","Completo","Revistas","301.24/S678 Más información"
"Social Scientist","Cerrado","No Aplica","Revistas","305/S678 Más información"
"South East Asia Research","Cerrado","Parcial","Revistas","959.005/S726 Más información"
"Southeast Asian Affairs","Cerrado","Parcial","Revistas","959/S727 Más información"
"The Association of Asian Studies","Abierto","Referencia","Financiamiento & Becas  , Directorios  , Organiza...","Más información"
"The Baghavad Ghita","Abierto","Completo","Libros Electrónicos","Más información"
"The Centre of South Asian Studies","Abierto","Referencia","Recursos Bibliotecológicos  , Centro de Investig...","Más información"
"The Japan Times Art","Abierto","Completo","Fotografías  , Imágenes","Más información"
"The National Library of Korea","Cerrado","Referencia","Catálogos de Bibliotecas","Más información"
"The Review of Korean Studies","Cerrado","Parcial","Revistas","951.905/R454 Más información"
"The Trustees of Princeton University. Basic Reference Works for Korean Studies","Abierto","Parcial","Libros Electrónicos","Más información"
"Toung Pao","Cerrado","Completo","Revistas","915.05/T725 Más información"
"Ukiyo-e Geijutsu","Abierto","Completo","Imágenes","Más información"
"Universities in Korea","Abierto","No Aplica","Guías  , Directorios","Más información"
"University of Hawaii. Libraries. Basic Reference Tools on Korea","Abierto","Referencia","Libros Electrónicos","Más información"
"Window on Korea","Abierto","No Aplica","Recursos Bibliotecológicos","Más información"
"Women and books in Japan from the 17th to the 19th centuries","Abierto","Completo","Imágenes","Más información"
"Women Peace & Security","Abierto","Parcial","Publicaciones Oficiales","Más información"
