"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Asociacion Mexicana de Bibliotecas e Instituciones con Fondos Antiguos","Abierto","Referencia","Directorios","Más información"
"Biblioteca digital de la Secretaría de Educación de Veracruz","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Nacional de España","Abierto","Parcial","Catálogos de Bibliotecas","Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"Caribbean abstracts","Abierto","Referencia","Resúmenes","Más información"
"Catálogo informatizado de la red de bibliotecas CSIC","Abierto","Parcial","Catálogos de Bibliotecas","Más información"
"Choice reviews online","Cerrado","Completo","Revistas  , Reseñas","016.7805/Ch545 Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
"Compludoc  base de datos de artículos de revistas","Abierto","Referencia","Revistas  , Resúmenes","RE/016.05 Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"EduDonor Index (Worldwide Directory of Grants for Educational Institutions)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"Emerald  Insight","Cerrado","Parcial","Revistas  , Libros Electrónicos","Más información"
"Ford Foundation, The","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Fuentes de información en ciencias sociales y humanidades","Abierto","Completo","Guías  , Bibliografía","REF/016.3/G2455f Más información"
"HathiTrust Digital Library","Abierto","Parcial","Biblioteca Digital","Más información"
"Hemeroteca Digital de la Biblioteca Nacional de España","Cerrado","Parcial","Biblioteca Digital","Más información"
"HLAS Handbook of Latin American Studies Online","Abierto","Referencia","Bibliografía","Más información"
"Humanities Text Initiative","Abierto","Completo","Biblioteca Digital","Más información"
"Humboldt University Berlin","Abierto","Completo","Biblioteca Digital","Más información"
"INFOBILA  Información Bibliotecológica Latinoamericana","Cerrado","Completo","Recursos Bibliotecológicos  , Revistas  , Biblio...","Más información"
"Informed librarian online  professional reading for the information professional","Cerrado","Parcial","Revistas  , Documentos de Trabajo  , Bibliotecas","Más información"
"Knovel","Cerrado","Completo","Revistas","Más información"
"Latindex  Sistema Regional de Información en Línea para Revistas Científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Le Monde","Abierto","Parcial","Periódicos","Más información"
"Library Journal","Abierto","Completo","Revistas","Más información"
"Library literature and information science full text","Cerrado","Parcial","Revistas","Más información"
"Library of Congress","Abierto","Parcial","Audio  , Bibliografía  , Biblioteca Digital  , D...","Más información"
"Library, Information Science & Technology Abstracts","Cerrado","Parcial","Revistas","Más información"
"Librunam","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"LibWeb: library servers via WWW","Abierto","No Aplica","Bibliotecas","Más información"
"LISA  library and information science abstracts","Cerrado","Referencia","Revistas","Más información"
"Mediatico.com","Abierto","Parcial","Periódicos","Más información"
"Metabase  Bibliografía en red","Abierto","Referencia","Revistas","RE/016.9728 Más información"
"Microsoft Academic Search","Abierto","Parcial","Revistas  , Falta determinar  , Artículos de Rev...","Más información"
"Milenio","Abierto","Parcial","Periódicos","Más información"
"New York Times, The","Abierto","Parcial","Periódicos","Más información"
"NYPL Digital Gallery","Cerrado","Parcial","Videos  , Imágenes  , Fotografías","Más información"
"OAIster","Cerrado","Completo","Biblioteca Digital","Más información"
"OAPEN","Abierto","Completo","Libros Electrónicos  , Biblioteca Digital","Más información"
"OASIS.Br","Abierto","Parcial","Revistas  , Artículos de Revistas","RE/016.05 Más información"
"OCLC FirstSearch","Cerrado","Parcial","Revistas","Más información"
"Online Dictionary for Library and Information Science","Abierto","Completo","Recursos Bibliotecológicos","Más información"
"Oxford Journals","Cerrado","Completo","Revistas","Más información"
"Periódica  Índice de revistas latinoamericanas en ciencias","Abierto","Referencia","Revistas","IND/016.5/P445 Más información"
"Redalyc  Red de revistas científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Research online","Abierto","Completo","Recursos Archivísticos  , Imágenes  , Documento...","Más información"
"Safari Books Online","Cerrado","Completo","Libros Electrónicos","Más información"
"Sage Research Methods Online (SRMO)","Cerrado","Parcial","Documentos de Trabajo  , Artículos de Revistas","Más información"
"SciELO  Scientific electronic library online","Cerrado","Parcial","Revistas","Más información"
"ScienceDirect","Cerrado","Parcial","Revistas","Más información"
"Scopus","Cerrado","Referencia","Bibliografía","Más información"
"Seminar on the Acquisition of Latin American Library Materials","Abierto","No Aplica","Organizaciones de Profesionales","Más información"
"SERIUNAM","Abierto","Referencia","Revistas","Más información"
"Social Sciences Full Text (H.W. Wilson)","Cerrado","Parcial","Revistas","Más información"
"Springer eBooks (Recurso contratado por CONRICyT)","Cerrado","Completo","Libros Electrónicos","Más información"
"SpringerLink journals (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
"Tablas de contenido y revistas en texto completo","Cerrado","Parcial","Revistas","Más información"
"Tesis COLMEX","Abierto","Completo","Biblioteca Digital","Más información"
"The Online Books Page","Cerrado","Parcial","Biblioteca Digital","Más información"
"UNdata","Abierto","Completo","Información Geográfica  , Estadísticas","Más información"
"Washington Post, The","Abierto","Parcial","Periódicos","Más información"
"Web of science","Cerrado","Referencia","Revistas  , Reseñas","Más información"
"Wiley InterScience","Cerrado","Completo","Revistas  , Reseñas","Más información"
"Wiley Online Library","Cerrado","Completo","Reseñas","Más información"
"Worldcat","Cerrado","Parcial","Catálogos de Bibliotecas","Más información"
