"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Academic OneFile","Cerrado","Parcial","Revistas  , Periódicos","Más información"
"Academic Search Complete","Cerrado","Parcial","Revistas","Más información"
"Acta asiática","Cerrado","No Aplica","Revistas","915.005/A188 Más información"
"Africa is a Country","Abierto","Completo","Fotografías  , Imágenes  , Videos","Más información"
"Africa Portal","Abierto","Completo","Biblioteca Digital  , Directorios","Más información"
"Africa Resources","Abierto","Referencia","Mapas  , Fotografías  , Enciclopedias","Más información"
"Africa South of the Sahara: selected internet resources","Abierto","Parcial","Guías  , Bibliografía","Más información"
"Africa update","Abierto","Completo","Revistas","Más información"
"African American and African studies","Abierto","Parcial","Guías  , Centro de Investigación","Más información"
"African communist","Abierto","Completo","Revistas","329.968/A258 Más información"
"African languages at Michigan State University","Abierto","Parcial","Guías","Más información"
"African newspapers, magazines and news sites in english","Abierto","Parcial","Periódicos","Más información"
"African studies quarterly : the online journal of african studies","Abierto","Completo","Revistas","Más información"
"African studies review","Cerrado","Completo","Revistas","960/A2587 Más información"
"African Women's Development and Communications Network [FEMNET]","Abierto","Parcial","Revistas","Más información"
"AfricanFiles","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"All Africa.com","Abierto","Parcial","Imágenes","Más información"
"American Asian review: an international journal on modern and contemporary Asia","Cerrado","No Aplica","Revistas","950.05/A512 Más información"
"AMIDEAST: America-Medeast Educational and Training Services","Abierto","No Aplica","Financiamiento & Becas  , Imágenes  , Organizaci...","Más información"
"Annual Reviews","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
"Anu College of Asia and the Pacific","Abierto","Parcial","Guías","Más información"
"Apartheid Museum","Abierto","Completo","Videos  , Imágenes  , Fotografías","Más información"
"Arabo.com","Abierto","No Aplica","Directorios","Más información"
"Archive of African Artists","Abierto","No Aplica","Imágenes","Más información"
"ARI: Academic Institutions on Africa","Abierto","Parcial","Guías","Más información"
"Asia Society","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Asia-Pacific economic review","Abierto","Completo","Revistas","Más información"
"Asian affairs","Cerrado","Completo","Revistas","327.5/A832 Más información"
"Asian Arts","Abierto","Completo","Imágenes  , Fotografías  , Artículos de Revist...","Más información"
"Asian pacific economic literature","Cerrado","Completo","Revistas","330.9505/A832 Más información"
"Asian survey","Abierto","Completo","Revistas","320.95/A832 Más información"
"Association of Southeast Asian Nations","Abierto","Parcial","Directorios  , Estadísticas  , Financiamiento & ...","Más información"
"AT&T Aspire","Abierto","No Aplica","Financiamiento & Becas","Más información"
"AULEX  Diccionario Japonés Español","Abierto","No Aplica","Diccionarios","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Bibliography of Asian Studies","Cerrado","Parcial","Artículos de Revistas","Más información"
"Bibliography of japanese history up to 1912","Abierto","Referencia","Bibliografía","Más información"
"Biblioteca africana","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca digital mundial","Abierto","Completo","Fotografías  , Biblioteca Digital","Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"Bulletin of asia pacific studies","Abierto","No Aplica","Revistas","950.05/B9361 Más información"
"Cahiers d'études africaines","Cerrado","Completo","Revistas","Más información"
"Cambridge Journals","Cerrado","Completo","Revistas","Más información"
"Canadian journal of  african studies","Cerrado","Completo","Revistas","916.005/C212 Más información"
"CCPN Goblal China","Abierto","Parcial","Documentos de Trabajo  , Organizaciones de Profes...","Más información"
"CEAA: Centro de Estudios de Asia y África","Abierto","Referencia","Guías","Más información"
"Center for East Asian Studies: instructional videos","Abierto","No Aplica","Videos","Más información"
"Centro de Estudios de Asia y África","Abierto","Parcial","Guías","Más información"
"China and world economy","Abierto","Completo","Revistas","Más información"
"China Journal, The","Cerrado","Parcial","Revistas","951.05/A938 Más información"
"China Knowledge: a universal guide for China studies","Abierto","Completo","Guías","Más información"
"China the Beautiful","Abierto","Parcial","Guías  , Imágenes  , Mapas","Más información"
"Chinese History","Abierto","Parcial","Guías","Más información"
"Choice reviews online","Cerrado","Completo","Revistas  , Reseñas","016.7805/Ch545 Más información"
"CIA world factbook","Abierto","Completo","Información Geográfica  , Mapas  , Publicacione...","Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
"Compludoc  base de datos de artículos de revistas","Abierto","Referencia","Revistas  , Resúmenes","RE/016.05 Más información"
"Corea del Sur - The Economist Intelligence Unit","Cerrado","Completo","Información Geográfica","Más información"
"Critical Asian Studies","Cerrado","Completo","Revistas","950.05/B936 Más información"
"Databases for Korea Studies","Cerrado","Parcial","Guías","Más información"
"DC-Cam Documentation Center of Cambodia","Abierto","Parcial","Centro de Investigación","Más información"
"Dialnet","Abierto","Parcial","Revistas","RE/016.5 Más información"
"Diario Oficial de la Federación","Abierto","Parcial","Publicaciones Oficiales","Más información"
"Digital Dictionaries of South Asia","Abierto","No Aplica","Diccionarios","Más información"
"Digital South Asia Library","Abierto","Parcial","Biblioteca Digital","Más información"
"Dirección General de Bibliotecas UNAM","Cerrado","Parcial","Biblioteca Digital  , Catálogos de Bibliotecas","Más información"
"Dirección General de Divulgación de la Ciencia","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Directory of Open Access Journal","Abierto","Completo","Revistas","RE/016.05 Más información"
"DSpace@MIT","Abierto","Completo","Documentos de Trabajo  , Artículos de Revistas  ...","Más información"
"E-Journal","Abierto","Completo","Artículos de Revistas","Más información"
"E-Textos Instituto de Altos Estudios Universitarios","Cerrado","Completo","Biblioteca Digital","Más información"
"East Asian History Sourcebook","Cerrado","Parcial","Imágenes  , Guías  , Mapas","Más información"
"East Asian Library Websites in North America A-Z","Abierto","No Aplica","Bibliotecas","Más información"
"EBSCO ebook Academic Collection","Cerrado","Completo","Libros Electrónicos","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"EduDonor Index (Worldwide Directory of Grants for Educational Institutions)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"El Corán","Abierto","Completo","Libros Electrónicos","Más información"
"El Economista","Abierto","Parcial","Periódicos","Más información"
"El Ramayana y el Mahabharata","Abierto","Completo","Libros Electrónicos","Más información"
"Electronic Collection Online","Cerrado","Referencia","Revistas","Más información"
"Emerald","Cerrado","Parcial","Revistas","RE/016.65 Más información"
"ESRC Economic and Social Research Council","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Estudios de Asia y África","Cerrado","Completo","Revistas","950.05/E82 Más información"
"Ford Foundation, The","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Global Connections The Middle East","Abierto","Completo","Bibliografía  , Fotografías  , Imágenes","Más información"
"H-Africa: academic programs in Áfrican Studies","Abierto","Referencia","Bibliografía  , Guías","Más información"
"Hazine: a guide to researching the middle east and beyond","Cerrado","Parcial","Biblioteca Digital  , Catálogos de Bibliotecas","Más información"
"Hemeroteca Digital de la Biblioteca Nacional de España","Cerrado","Parcial","Biblioteca Digital","Más información"
"História Geral de Cabo Verde","Abierto","Completo","Libros Electrónicos","Más información"
"Historic City of Ayutthaya,","Abierto","Completo","Fotografías  , Imágenes  , Información Geográ...","Más información"
"History in Africa: a Journal of metho","Cerrado","Parcial","Revistas","960.05/H673 Más información"
"Hollis List","Abierto","Completo","Imágenes","Más información"
"Humanities Text Initiative","Abierto","Completo","Biblioteca Digital","Más información"
"Humboldt University Berlin","Abierto","Completo","Biblioteca Digital","Más información"
"IIAS Newsletter","Abierto","Falta determinar","Revistas","Más información"
"Illustrations of Japanese Life","Abierto","Parcial","Imágenes","Más información"
"India.gov.in","Abierto","Parcial","Publicaciones Oficiales  , Directorios","Más información"
"India.gov.in: National Portal of India","Abierto","Parcial","Mapas  , Publicaciones Oficiales","Más información"
"International Conference on Burma/Myanmar Studies","Abierto","Completo","Documentos de Trabajo  , Videos","Más información"
"International Journal of Korean History","Cerrado","No Aplica","Revistas","951.9005 / In6127 Más información"
"Internet African History Sourcebook","Abierto","Parcial","Directorios","Más información"
"Internet Guide for Chinese Studies","Abierto","Parcial","Guías","Más información"
"Internet Indian History Sourcebook","Abierto","Falta determinar","Guías","Más información"
"Internet Resources for South Asian Studies","Abierto","Parcial","Guías","Más información"
"Iran (Islamic Republic of)","Abierto","Completo","Fotografías  , Imágenes  , Videos","Más información"
"Islam and islamic studies resources","Abierto","Parcial","Guías","Más información"
"Islamic Area Studies","Abierto","Parcial","Guías  , Documentos de Trabajo","Más información"
"Japan and the world economy","Cerrado","Completo","Revistas","330.952005/J351 Más información"
"Japanese Art Society of  America","Abierto","Parcial","Imágenes  , Fotografías","Más información"
"Japanese Language and Literature","Cerrado","Parcial","Revistas","495.607 / J86 Más información"
"Jeune Afrique L´intelligent","Cerrado","Falta determinar","Revistas","960.05/J581 Más información"
"JGuide","Abierto","Parcial","Directorios","Más información"
"John Simon Guggenheim Memorial Foundation","Abierto","Referencia","Financiamiento & Becas","Más información"
"Journal of Asian Studies","Cerrado","Completo","Revistas","950.05/J86 Más información"
"Journal of East Asian affairs","Cerrado","No Aplica","Revistas","320.95/J86 Más información"
"Journal of Japanese studies","Cerrado","Completo","Revistas","915.2005/J86 Más información"
"Journal of Korean Studies, The","Cerrado","Completo","Revistas","Más información"
"Journal of the American Oriental Society","Abierto","No Aplica","Revistas","490.6/A512j Más información"
"Journal of the Economic and Social History of the Orient","Cerrado","Completo","Revistas","330.95/J86 Más información"
"Korea Annual","Cerrado","No Aplica","Revistas","951.95/K84 Más información"
"Korea Focus","Abierto","Parcial","Revistas","Más información"
