"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Chatham House Online Archive","Cerrado","Completo","Reportes Técnicos  , Recursos Archivísticos  , ...","Más información"
"A dictionary of modern politics","Cerrado","Completo","Libros Electrónicos","REF/320.3/R649d/2002 Más información"
"A Discourse Upon The Origin and The Foundation Of The Inequality Among Mankind","Abierto","Completo","Libros Electrónicos","Más información"
"Academic OneFile","Cerrado","Parcial","Revistas  , Periódicos","Más información"
"Academic Search Complete","Cerrado","Parcial","Revistas","Más información"
"Académica : innovación digital de conocimiento","Abierto","Completo","Biblioteca Digital  , Revistas","Más información"
"ACLS Humanities E-book","Cerrado","Completo","Libros Electrónicos","Más información"
"Acta Politica","Cerrado","Completo","Artículos de Revistas","Más información"
"Agencia de la ONU para los Refugiados","Abierto","Completo","Fotografías  , Estadísticas  , Fuentes Primaria...","Más información"
"Alexander Von Humbolt Foundation","Abierto","Parcial","Financiamiento & Becas","Más información"
"Ali, Sheikh Rustum.   The international organizations and world order dictionary","Abierto","No Aplica","Libros Electrónicos","341.1103 A398in Más información"
"American diplomacy","Abierto","Completo","Revistas  , Artículos de Revistas","Más información"
"American journal of political science","Cerrado","Completo","Revistas","320.5 / A512 Más información"
"American Society for Public Administration","Cerrado","Referencia","Organizaciones de Profesionales","Más información"
"Amnistía Internacional","Abierto","Parcial","Centro de Investigación","Más información"
"Annual Review of Law and Social Sciences","Cerrado","Completo","Revistas","Más información"
"Annual review of political science","Cerrado","Completo","Revistas","320.58 A6155 Más información"
"Annual Reviews","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
"Archivo de la Embajada de México en los EUA","Abierto","Referencia","Recursos Archivísticos","Más información"
"Archivo Electrónico Ricardo Flores Magón","Abierto","Completo","Biblioteca Digital  , Fuentes Primarias  , Fotogr...","Más información"
"Arte Publico Hispanic Historical Collections (Series 1)","Cerrado","Completo","Libros Electrónicos  , Fuentes Primarias  , Art�...","Más información"
"Asian affairs","Cerrado","Completo","Revistas","327.5/A832 Más información"
"Ask the EU.org, its your right","Abierto","Parcial","Videos  , Fuentes Primarias","Más información"
"Asociación Mexicana de Estudios Internacionales","Abierto","Referencia","Organizaciones de Profesionales","Más información"
"AT&T Aspire","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Banco de información empresarial de Expansión","Cerrado","Parcial","Revistas","Más información"
"Bartleby. Great books online","Abierto","Completo","Biblioteca Digital","Más información"
"Base de datos de las Conferencias Panamericanas (1889-1938)","Abierto","Referencia","Bibliografía","Más información"
"Base de datos terminológica multilingüística de las Naciones Unidas (UNTERM)","Abierto","Parcial","Corpus  , Libros Electrónicos","Más información"
"Bases de datos bibliográficas de la Comisión Económica para América Latina y el Caribe (CEPAL)","Abierto","Parcial","Recursos Bibliotecológicos  , Biblioteca Digital...","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Biblioteca Ayacucho Digital","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Digital Andina","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Digital Mexicana","Abierto","Completo","Biblioteca Digital  , Fotografías  , Fuentes Pri...","Más información"
"Biblioteca digital mundial","Abierto","Completo","Fotografías  , Biblioteca Digital","Más información"
"Biblioteca digital. Universidad Iberoamericana","Abierto","Parcial","Biblioteca Digital","Más información"
"Biblioteca Jurídica Virtual","Abierto","Completo","Libros Electrónicos  , Documentos de Trabajo  , ...","Más información"
"Biblioteca Virtual. Biblioteca Luis Ángel Arango","Abierto","Parcial","Videos  , Imágenes  , Biblioteca Digital","Más información"
"Bobbio, Norberto, 1909-.   Diccionario de política","Abierto","No Aplica","Libros Electrónicos","320.3 B663d/1997 Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"British politics and society","Cerrado","Completo","Periódicos","Más información"
"Bulletin of the German Historical Institute","Abierto","Completo","Artículos de Revistas","Más información"
"Cairn.info","Cerrado","Parcial","Revistas  , Libros Electrónicos","Más información"
"Cambridge Journals","Cerrado","Completo","Revistas","Más información"
"Canadian journal of political science","Cerrado","Completo","Revistas","Más información"
"Canadian public administration","Cerrado","Completo","Revistas","350.5/C213 Más información"
"Caribbean abstracts","Abierto","Referencia","Resúmenes","Más información"
"Carn.info : chercher, repérer, avancer","Cerrado","Parcial","Enciclopedias  , Biblioteca Digital  , Artículos...","Más información"
"Casede","Abierto","Parcial","Videos  , Libros Electrónicos  , Estadísticas  ...","Más información"
"Catalog of U.S. Government Publications","Abierto","Parcial","Publicaciones Oficiales  , Catálogos de Bibliote...","Más información"
"Center for Legislative Archives","Cerrado","Referencia","Recursos Archivísticos","Más información"
"Center for Public Integrity","Abierto","Completo","Organizaciones de Profesionales","Más información"
"Center for Strategic and International Studies","Abierto","Completo","Libros Electrónicos  , Estadísticas  , Revistas","Más información"
"Centro de Estudios Espinosa Yglesia","Abierto","Parcial","Centro de Investigación  , Documentos de Trabajo...","Más información"
"Centro de Estudios Políticos y Constitucionales","Cerrado","Parcial","Artículos de Revistas  , Biblioteca Digital","Más información"
"Centro de Estudios Políticos, Económicos y Sociales","Cerrado","Parcial","Documentos de Trabajo  , Libros Electrónicos  , ...","Más información"
"Centro Latinoamericano de Administración para el Desarrollo","Abierto","Referencia","Organizaciones de Profesionales","Más información"
"Choice reviews online","Cerrado","Completo","Revistas  , Reseñas","016.7805/Ch545 Más información"
"CIA world factbook","Abierto","Completo","Información Geográfica  , Mapas  , Publicacione...","Más información"
"CIDOB Publicaciones","Abierto","Completo","Libros Electrónicos  , Documentos de Trabajo","Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
"Comité 1540","Abierto","Completo","Publicaciones Oficiales","Más información"
"Comparative Studies in Society and History","Cerrado","Completo","Revistas","305/C737 Más información"
"Compludoc  base de datos de artículos de revistas","Abierto","Referencia","Revistas  , Resúmenes","RE/016.05 Más información"
"Conferencias Panamericanas (1889-1938)","Abierto","Parcial","Catálogos de Bibliotecas  , Libros Electrónicos","Más información"
"Consejo Mexicano de Asuntos Internacionales","Abierto","Completo","Organizaciones de Profesionales","Más información"
"Contemporary Politics","Cerrado","Completo","Revistas","327.05/C7616 Más información"
"Core documents of our democracy","Abierto","Completo","Publicaciones Oficiales","Más información"
"Corporación Latinobarómetro","Abierto","Completo","Fuentes Primarias  , Estadísticas  , Recursos Ar...","Más información"
"Critique of Pure Reason","Abierto","Completo","Libros Electrónicos","Más información"
"Cuban Heritage Collection (CHC) Digital Collections","Abierto","Completo","Mapas  , Biblioteca Digital","Más información"
"datos.gob.mx / Sistema de regionalización funcional de México","Abierto","Completo","Software  , Mapas  , Información Geográfica  , ...","Más información"
"Declaración Universal de los Derechos Humanos","Abierto","Completo","Publicaciones Oficiales","Más información"
"Democracy in America","Abierto","Completo","Libros Electrónicos","Más información"
"Denarius : revista de economía y administración","Abierto","Completo","Revistas","Más información"
"Dialnet","Abierto","Parcial","Revistas","RE/016.5 Más información"
"Diario Oficial de la Federación","Abierto","Parcial","Publicaciones Oficiales","Más información"
"Diccionario de ciencia política","Cerrado","Completo","Libros Electrónicos","REF/320.103/S4876d Más información"
"Diccionario del diplomático","Cerrado","No Aplica","Libros Electrónicos","327.03 4732d Más información"
"Digital Archive of Latin American and Caribbean Ephemera","Abierto","Completo","Biblioteca Digital","Más información"
"Diplomatic History","Cerrado","Completo","Revistas","327.73/D596 Más información"
"Dirección General de Bibliotecas UNAM","Cerrado","Parcial","Biblioteca Digital  , Catálogos de Bibliotecas","Más información"
"Dirección General de Divulgación de la Ciencia","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Directory of Open Access Journal","Abierto","Completo","Revistas","RE/016.05 Más información"
"Docs teach","Abierto","Falta determinar","Fuentes Primarias  , Guías  , Imágenes  , Mapas...","Más información"
"DSpace@MIT","Abierto","Completo","Documentos de Trabajo  , Artículos de Revistas  ...","Más información"
"E-Journal","Abierto","Completo","Artículos de Revistas","Más información"
"E-Textos Instituto de Altos Estudios Universitarios","Cerrado","Completo","Biblioteca Digital","Más información"
"EBSCO ebook Academic Collection","Cerrado","Completo","Libros Electrónicos","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"EduDonor Index (Worldwide Directory of Grants for Educational Institutions)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"El Economista","Abierto","Parcial","Periódicos","Más información"
"El financiero","Abierto","Parcial","Periódicos","079.72/F491 Más información"
"El País","Abierto","Parcial","Periódicos","Más información"
"El Sol de México","Abierto","Parcial","Periódicos","Más información"
"El Universal","Abierto","Parcial","Periódicos","Más información"
"Electronic Collection Online","Cerrado","Referencia","Revistas","Más información"
"Electronic Research Collection","Cerrado","Parcial","Fuentes Primarias  , Recursos Archivísticos","Más información"
"Emerald","Cerrado","Parcial","Revistas","RE/016.65 Más información"
"Encyclopedia of Terrorism. 2003","Cerrado","Completo","Libros Electrónicos","Más información"
"Encyclopédie de l'état du monde [disco compacto]","Cerrado","Referencia","Libros Electrónicos","DC/1297 Más información"
"Erudit","Abierto","Completo","Biblioteca Digital","Más información"
"Espacio marítimo: Legislación y tratados","Abierto","Completo","Publicaciones Oficiales  , Información Geográfi...","Más información"
"Espacios políticos","Abierto","Completo","Revistas","Más información"
"ESRC Economic and Social Research Council","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Estudos Avançados","Abierto","Completo","Revistas","Más información"
"European Journal of Political Research","Cerrado","Completo","Revistas","320.94/E89 Más información"
"Excélsior","Abierto","Parcial","Periódicos","Más información"
"Facts on File dictionary of public administration","Abierto","No Aplica","Libros Electrónicos","REF/350.3 / S252f Más información"
"Ford Foundation, The","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Foreign affairs Latinoamérica","Cerrado","Parcial","Revistas","Más información"
"Foreing Policy","Abierto","Parcial","Revistas  , Artículos de Revistas","Más información"
"Fuente académica","Cerrado","Completo","Revistas","Más información"
"Fuentes de información en ciencias sociales y humanidades","Abierto","Completo","Guías  , Bibliografía","REF/016.3/G2455f Más información"
"Gale Primary Sources","Cerrado","Completo","Periódicos  , Recursos Archivísticos","Más información"
"General Service Foundation","Abierto","Parcial","Financiamiento & Becas","Más información"
"Global Collections Initiative","Cerrado","Parcial","Biblioteca Digital  , Fuentes Primarias  , Perió...","Más información"
"Global Integrity: data, learning & action for open governance","Cerrado","Parcial","Libros Electrónicos  , Estadísticas  , Reportes...","Más información"
"Glosario de términos más usuales en la administración pública federal","Abierto","No Aplica","Libros Electrónicos","REF/350 / M6117g / 2001 Más información"
"Guide to law online","Abierto","Completo","Organizaciones de Profesionales","Más información"
"Haensch, Günther.   Dictionary of international relations and politics : systematic and alphabetical in four languages: German, English, American, French, Spanish","Abierto","No Aplica","Libros Electrónicos","320.3/H135d Más información"
"Handbook of comparative and development public administration","Abierto","No Aplica","Libros Electrónicos","350/6/v.94/2001 Más información"
"Harry Frank Guggenheim Foundation, The","Abierto","Parcial","Reportes Técnicos  , Fuentes Primarias  , Financ...","Más información"
"Hemeroteca Digital de la Biblioteca Nacional de España","Cerrado","Parcial","Biblioteca Digital","Más información"
"Henry M. Jackson Foundation","Abierto","Parcial","Financiamiento & Becas  , Audio  , Reportes Técn...","Más información"
"Hernández Vela Salgado, Edmundo.   Diccionario de política internacional","Abierto","Falta determinar","Libros Electrónicos","327.03 H5578d Más información"
"HighWire press","Abierto","Parcial","Revistas  , Reseñas  , Artículos de Revistas","Más información"
"HLAS Handbook of Latin American Studies Online","Abierto","Referencia","Bibliografía","Más información"
"Humanities Text Initiative","Abierto","Completo","Biblioteca Digital","Más información"
"Humboldt University Berlin","Abierto","Completo","Biblioteca Digital","Más información"
"Índice Global de Impunidad de México","Abierto","Completo","Fuentes Primarias","Más información"
"Informe académico","Cerrado","Completo","Periódicos  , Artículos de Revistas  , Revistas","Más información"
"Institute for Economics and Peace","Abierto","Completo","Reportes Técnicos","Más información"
"Instituto Centroamericano de Administración Pública","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Instituto de Administración Pública del Estado de México:","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Instituto Mexicano para la Competitividad A.C.","Abierto","Completo","Audio  , Centro de Investigación  , Documentos d...","Más información"
"Instituto Nacional de Administración Pública:","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"International encyclopedia of public policy and administration","Cerrado","No Aplica","Libros Electrónicos","REF/350.3 / In61 Más información"
"International Journal of Public Administration","Cerrado","Completo","Revistas","350.5/In614 Más información"
"International Organization","Abierto","Completo","Revistas","341.1105/In61 Más información"
"International political science abstracts","Cerrado","Completo","Revistas","IND/320.5/In61 Más información"
"International Politics","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
"International relations : a political dictionary","Abierto","No Aplica","Libros Electrónicos","327.03 Z81in/1995 Más información"
"International relations dictionary","Abierto","No Aplica","Libros Electrónicos","327.03E79i Más información"
"International studies perspectives","Cerrado","Completo","Revistas  , Artículos de Revistas","327.05/In6176 Más información"
"International studies quarterly : a publication of the International Studies Association","Cerrado","Completo","Revistas","320.5/In617 Más información"
"International yearbook and statesmen’s who’s who, The (Recurso contratado por CARI-EL COLEGIO DE MÉXICO)","Cerrado","Referencia","Libros Electrónicos","Más información"
"John Simon Guggenheim Memorial Foundation","Abierto","Referencia","Financiamiento & Becas","Más información"
"JOURNAL OF CANADIAN STUDIES","Abierto","Falta determinar","Revistas","971.005/J865 Más información"
"Journal of communist studies and transition politics","Abierto","Falta determinar","Revistas","335.4305/J86 Más información"
"Journal of conflict, security [and] development","Abierto","Falta determinar","Revistas","341.105/J865 Más información"
"Journal of Democracy","Cerrado","Completo","Revistas","321.805/J865 Más información"
"Journal of International Relations and Development","Cerrado","Completo","Revistas  , Artículos de Revistas","Más información"
"Journal of Public Governance and Policy: Latin American Review","Abierto","Completo","Artículos de Revistas","Más información"
"LABORSTA","Abierto","Parcial","Estadísticas","RE/331.021 Más información"
"Latin American Newspapers Series I-II","Cerrado","Completo","Periódicos","Más información"
"Latindex  Sistema Regional de Información en Línea para Revistas Científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Latino Studies","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
