"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Academia Mexicana de la Lengua","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Academic OneFile","Cerrado","Parcial","Revistas  , Periódicos","Más información"
"Academic Search Complete","Cerrado","Parcial","Revistas","Más información"
"Académica : innovación digital de conocimiento","Abierto","Completo","Biblioteca Digital  , Revistas","Más información"
"Acervo Digital Anotado de Literatura Argentina","Abierto","Parcial","Biblioteca Digital","Más información"
"Acervo Digital de Lenguas Indígenas","Abierto","Falta determinar","Videos  , Fotografías  , Audio","Más información"
"Acervos digitales : Universidad de las Américas – Puebla","Abierto","Completo","Periódicos  , Libros Electrónicos  , Fotografí...","Más información"
"ACLS Humanities E-book","Cerrado","Completo","Libros Electrónicos","Más información"
"Alif : Journal of Comparative Poetics","Cerrado","Completo","Revistas","809/A399 Más información"
"ALTA newsletter","Cerrado","Completo","Revistas","410.5/A465 Más información"
"Amado Nervo: lecturas de una obra en el tiempo","Abierto","Parcial","Imágenes  , Bibliografía","Más información"
"Anales cervantinos","Cerrado","Parcial","Artículos de Revistas  , Reseñas  , Revistas","863.3205 / A532 Más información"
"Annual Reviews","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
"Anthropological Linguistics","Cerrado","Parcial","Revistas","401.05/A636 Más información"
"Anuario de Estudios Medievales","Abierto","Completo","Artículos de Revistas  , Reseñas","Más información"
"Applied Psycholinguistics","Cerrado","Parcial","Revistas","401.9/A648 Más información"
"Aproximaciones a la traducción","Abierto","Referencia","Bibliografía","Más información"
"Archive of Recorded Poetry and Literature","Cerrado","Referencia","Audio  , Bibliografía  , Biografías  , Imágenes","Más información"
"Archivo de Lenguas Indígenas","Abierto","Parcial","Bibliografía","Más información"
"Archivo de los Idiomas Indígenas de América Latina","Cerrado","Parcial","Audio","Más información"
"Archivo Histórico de Revistas Argentinas","Abierto","Completo","Revistas  , Artículos de Revistas","Más información"
"Archivo Julio Cortázar","Abierto","Parcial","Recursos Archivísticos  , Bibliografía","Más información"
"Archivo Rubén Darío","Abierto","Parcial","Audio  , Bibliografía  , Biblioteca Digital","Más información"
"Armas y letras","Cerrado","Parcial","Revistas","805 / A727 Más información"
"AT&T Aspire","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Atlas interactivo de la entonación del Español","Abierto","Referencia","Audio  , Información Geográfica  , Mapas","Más información"
"Atlas of Pidgin and Creole Language Structures Online","Abierto","Referencia","Bibliografía  , Información Geográfica  , Mapas","Más información"
"Atlas sintáctico del Español","Abierto","Referencia","Corpus","Más información"
"Autores del Uruguay","Abierto","Parcial","Bibliografía  , Biografías  , Imágenes  , Libr...","Más información"
"Banco de imágenes del Quijote","Abierto","Referencia","Imágenes","Más información"
"Base de datos terminológica multilingüística de las Naciones Unidas (UNTERM)","Abierto","Parcial","Corpus  , Libros Electrónicos","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Bibliografía de escritoras españolas","Abierto","Parcial","Bibliografía","Más información"
