"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Asia Society","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Asian affairs","Cerrado","Completo","Revistas","327.5/A832 Más información"
"Centro de Estudios de Asia y África","Abierto","Parcial","Guías","Más información"
"Corea del Sur - The Economist Intelligence Unit","Cerrado","Completo","Información Geográfica","Más información"
"Databases for Korea Studies","Cerrado","Parcial","Guías","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"Hollis List","Abierto","Completo","Imágenes","Más información"
"International Journal of Korean History","Cerrado","No Aplica","Revistas","951.9005 / In6127 Más información"
"Journal of Korean Studies, The","Cerrado","Completo","Revistas","Más información"
"Korea Annual","Cerrado","No Aplica","Revistas","951.95/K84 Más información"
"Korea Focus","Abierto","Parcial","Revistas","Más información"
"Korea Journal","Cerrado","Completo","Revistas","Clasificación: 951.905 / K84 Más información"
"Korea newsreview","Cerrado","No Aplica","Revistas","951.9005/K84 Más información"
"Korea.net","Abierto","Parcial","Guías","Más información"
"Korean history:  a bibliography","Abierto","Parcial","Libros Electrónicos","Más información"
"Korean in Figures","Abierto","Parcial","Revistas","315.195/K842 Más información"
"Korean journal","Abierto","Completo","Revistas","951.905/K84 Más información"
"Korean social science journal","Abierto","No Aplica","Revistas","338.951905/K843 Más información"
"Korean studies","Cerrado","Completo","Revistas","Más información"
"Korean Studies: Duke University","Abierto","Parcial","Guías","Más información"
"Koreana : a quarterly on Korean culture","Abierto","Completo","Revistas","709.519/K84 Más información"
"National Library of Korea Reference Room","Abierto","Parcial","Libros Electrónicos","Más información"
"Occasional Papers on Korea","Cerrado","Completo","Revistas","Más información"
"Research Guide for Korean Studies","Abierto","Parcial","Guías","Más información"
"Seoul journal of Korean studies","Abierto","Referencia","Revistas","Más información"
"The National Library of Korea","Cerrado","Referencia","Catálogos de Bibliotecas","Más información"
"The Review of Korean Studies","Cerrado","Parcial","Revistas","951.905/R454 Más información"
"The Trustees of Princeton University. Basic Reference Works for Korean Studies","Abierto","Parcial","Libros Electrónicos","Más información"
"Universities in Korea","Abierto","No Aplica","Guías  , Directorios","Más información"
"University of Hawaii. Libraries. Basic Reference Tools on Korea","Abierto","Referencia","Libros Electrónicos","Más información"
"Window on Korea","Abierto","No Aplica","Recursos Bibliotecológicos","Más información"
