"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Académica : innovación digital de conocimiento","Abierto","Completo","Biblioteca Digital  , Revistas","Más información"
"AgEcon Search : research in agricultural and applied economics","Abierto","Completo","Artículos de Revistas  , Documentos de Trabajo","Más información"
"Agricultura y desarrollo rural","Abierto","Completo","Estadísticas","Más información"
"ALA guide to economics and business reference","Cerrado","No Aplica","Guías","REF/330.03 / A3165 Más información"
"American economic journal : economic policy","Cerrado","Completo","Revistas","En formato impreso 2009-  con clasificación  338.905/A51213a Más información"
"American economic journal : macroeconomics","Cerrado","Completo","Revistas","En formato impreso 2009-  con clasificación 330.105/A51213  Más información"
"American economic journal: applied economics","Cerrado","Completo","Revistas","En formato impreso 2009-  con clasificación 330.5/A51213 Más información"
"Annual review of economics","Cerrado","Completo","Revistas","Más información"
"Annual Review of Law and Social Sciences","Cerrado","Completo","Revistas","Más información"
"Annual review of resource economics","Cerrado","Completo","Revistas","Más información"
"Annual Reviews","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
"Anuario Estadístico de América Latina y el Caribe, 2012","Abierto","Completo","Estadísticas","Más información"
"Anuario estadístico y geográfico de los Estados Unidos Mexicanos 2014","Abierto","Completo","Estadísticas","Más información"
"Asociación Mexicana de Historia Económica","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Atlas mundial de datos : estadísticas regionales y mundiales, datos nacionales, mapas, clasificaciones","Abierto","No Aplica","Estadísticas","Más información"
"Banco Central de Reserva del Perú","Abierto","Completo","Documentos de Trabajo  , Estadísticas  , Libros ...","Más información"
"Banco de información económica INEGI","Abierto","Completo","Estadísticas","Más información"
"Banco de información empresarial de Expansión","Cerrado","Parcial","Revistas","Más información"
"Banco de información para la investigación aplicada en ciencias sociales","Abierto","Parcial","Estadísticas  , Bibliografía","Más información"
"Banco de México","Abierto","Parcial","Estadísticas","Más información"
"Banco Interamericano de Desarrollo: Publicaciones","Abierto","Completo","Publicaciones Oficiales  , Libros Electrónicos  ...","Más información"
"Base de Datos de Historia Económica de América Latina Montevideo-Oxford","Abierto","Completo","Estadísticas","Más información"
"Base de datos de política comercial de los socios comerciales de México en la Asociación Latinoamericana de Integración","Abierto","Completo","Normas y Patentes  , Publicaciones Oficiales","Más información"
"Base de datos de política comercial de los socios comerciales de México en la Asociación Latinoamericana de Integración (ALADI)","Abierto","Completo","Fuentes Primarias  , Publicaciones Oficiales  , R...","Más información"
"Base de datos integrada de controversias comerciales de América Latina y El Caribe","Abierto","Completo","Fuentes Primarias  , Publicaciones Oficiales","Más información"
"Base de datos Sumarios ISOC","Abierto","Parcial","Resúmenes  , Artículos de Revistas  , Reportes ...","Más información"
"Bases de datos bibliográficas de la Comisión Económica para América Latina y el Caribe (CEPAL)","Abierto","Parcial","Recursos Bibliotecológicos  , Biblioteca Digital...","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Berkeley Program in Law and Economics : Working Paper Series","Abierto","Completo","Documentos de Trabajo","Más información"
"Biblioteca digital mundial","Abierto","Completo","Fotografías  , Biblioteca Digital","Más información"
"Biblioteca digital. Universidad Iberoamericana","Abierto","Parcial","Biblioteca Digital","Más información"
"Biblioteca Jurídica Virtual","Abierto","Completo","Libros Electrónicos  , Documentos de Trabajo  , ...","Más información"
"Biblioteca Virtual. Biblioteca Luis Ángel Arango","Abierto","Parcial","Videos  , Imágenes  , Biblioteca Digital","Más información"
"Booms and busts : an encyclopedia of economic history from Tulipmania of the 1630s to the global financial crisis of the 21st century","Abierto","No Aplica","Libros Electrónicos","REF/330.03 / B7248 Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"Brookings papers on economic activity","Cerrado","Completo","Revistas","En formato impreso 1970-1996, 2000-2011 con clasificación 330.973/B872 Más información"
"Brookings papers on economic activity. Microeconomics","Abierto","Completo","Revistas","Más información"
"Bureau for Research and Economic Analysis of Development (BREAD). Policy Papers","Abierto","Parcial","Estadísticas","Más información"
"Bureau of economic analysis","Abierto","Completo","Revistas  , Estadísticas","Más información"
"Business Abstracts with Full Text","Cerrado","Parcial","Revistas  , Artículos de Revistas","Más información"
"Business source complete","Cerrado","Parcial","Artículos de Revistas","Más información"
"Cairn.info","Cerrado","Parcial","Revistas  , Libros Electrónicos","Más información"
"Cambridge Journals","Cerrado","Completo","Revistas","Más información"
"Catalog of U.S. Government Publications","Abierto","Parcial","Publicaciones Oficiales  , Catálogos de Bibliote...","Más información"
"Catálogo del Sistema Financiero Mexicano","Abierto","No Aplica","Directorios","Más información"
"CEMLA : cuadernos de investigación","Abierto","Parcial","Documentos de Trabajo","Más información"
"CEMLA : documentos de coyuntura","Abierto","Completo","Documentos de Trabajo  , Publicaciones Oficiales","Más información"
