"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Academia Mexicana de Ciencias: Publicaciones ambientales","Abierto","Completo","Libros Electrónicos","Más información"
"Académica : innovación digital de conocimiento","Abierto","Completo","Biblioteca Digital  , Revistas","Más información"
"ACE: Architecture, City and Environment","Abierto","Completo","Revistas","Más información"
"Annals of regional science","Cerrado","Completo","Revistas","338.905 A613  Más información"
"Annual review of public healt","Cerrado","Completo","Revistas","Más información"
"Annual Reviews","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Biblioteca Ayacucho Digital","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Digital INFONAVIT","Abierto","Completo","Biblioteca Digital  , Documentos de Trabajo","Más información"
"Biblioteca digital mundial","Abierto","Completo","Fotografías  , Biblioteca Digital","Más información"
"Biblioteca Virtual en Salud México","Abierto","Parcial","Biblioteca Digital","Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"Cardus: Revista de Estudios Urbanos","Abierto","Completo","Artículos de Revistas","Más información"
"Caribbean abstracts","Abierto","Referencia","Resúmenes","Más información"
"Center for Comparative Immigration Studies","Cerrado","Parcial","Reportes Técnicos  , Centro de Investigación","Más información"
"CEPALSTAT","Abierto","Parcial","Publicaciones Oficiales  , Estadísticas","Más información"
"Choice reviews online","Cerrado","Completo","Revistas  , Reseñas","016.7805/Ch545 Más información"
"Cities","Cerrado","No Aplica","Revistas","301.3605/C581  Más información"
"CODATU : Library","Abierto","Completo","Biblioteca Digital","Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
"Compludoc  base de datos de artículos de revistas","Abierto","Referencia","Revistas  , Resúmenes","RE/016.05 Más información"
"datos.gob.mx / Sistema de regionalización funcional de México","Abierto","Completo","Software  , Mapas  , Información Geográfica  , ...","Más información"
"Dialnet","Abierto","Parcial","Revistas","RE/016.5 Más información"
"DSpace@MIT","Abierto","Completo","Documentos de Trabajo  , Artículos de Revistas  ...","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"ECOLEX  a gateway to environmental law","Abierto","Completo","Publicaciones Oficiales  , Fuentes Primarias","Más información"
"Economía, sociedad y territorio","Abierto","Completo","Revistas","304.205/E19 Más información"
"Editions de l’IHEAL","Abierto","Completo","Biblioteca Digital","Más información"
"EduDonor Index (Worldwide Directory of Grants for Educational Institutions)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"Electronic Collection Online","Cerrado","Referencia","Revistas","Más información"
"Emerald  Insight (Colección multidisciplinar + Backfiles + Colección ingeniería)","Cerrado","Parcial","Libros Electrónicos  , Artículos de Revistas","RE/016.65  Más información"
"Estudios Demográficos y Urbanos (1986- )","Cerrado","Parcial","Revistas","312.05/E82 Más información"
"Estudios Fronterizos","Abierto","Completo","Revistas","330.9721/E82  Más información"
"Estudios Migratorios Latinoamericanos","Cerrado","Referencia","Revistas  , Resúmenes","325.205/E825 Más información"
"Estudios Sociológicos","Cerrado","Parcial","Reseñas  , Revistas","301.05/M611e  Más información"
"ETDEWEB World Energy Base","Abierto","Completo","Biblioteca Digital","Más información"
"EURE","Abierto","Completo","Revistas","301.36/E89  Más información"
"European Investment Bank (EIB)","Abierto","Completo","Documentos de Trabajo","Más información"
"European Planning Studies","Cerrado","Completo","Revistas","Más información"
"Ford Foundation, The","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Frontera Norte","Abierto","Completo","Reseñas  , Revistas","327.72073/F935 Más información"
"Fuentes de información en ciencias sociales y humanidades","Abierto","Completo","Guías  , Bibliografía","REF/016.3/G2455f Más información"
"Geographical Review","Cerrado","Completo","Revistas","Más información"
"GreenFILE","Cerrado","Completo","Artículos de Revistas","Más información"
"HighWire press","Abierto","Parcial","Revistas  , Reseñas  , Artículos de Revistas","Más información"
"HLAS Handbook of Latin American Studies Online","Abierto","Referencia","Bibliografía","Más información"
"Housing Studies","Cerrado","Completo","Revistas","Más información"
"Instituto Mexicano para la Competitividad A.C.","Abierto","Completo","Audio  , Centro de Investigación  , Documentos d...","Más información"
"Instituto Nacional de Estadística y Geografía (INEGI)","Abierto","Parcial","Información Geográfica  , Estadísticas","Más información"
"International Journal of Urban and Regional Research","Cerrado","Completo","Revistas","301.36 In61  Más información"
"International Migration","Cerrado","Completo","Revistas  , Reseñas","325.05 In611  Más información"
"International Migration Review","Cerrado","Completo","Revistas  , Reseñas","325.05 In61 Más información"
"International Regional Science Review","Cerrado","Completo","Revistas","309.105 In61 Más información"
"Investigaciones Regionales","Abierto","Completo","Revistas","Más información"
"John Simon Guggenheim Memorial Foundation","Abierto","Referencia","Financiamiento & Becas","Más información"
"Journal of Regional Science","Cerrado","Completo","Revistas","338.905/J866 Más información"
"Journal of Transport Economics and Policy","Cerrado","Completo","Revistas","385.1/J867  Más información"
"Journal of Transport Geography","Cerrado","Parcial","Revistas","Más información"
"Journal of Urban Affairs","Cerrado","Completo","Revistas","307.76097305/J863 Más información"
"Journal of Urban Economics","Cerrado","Parcial","Revistas","330.19/J86  Más información"
"Journal of Urban History","Cerrado","Completo","Revistas  , Resúmenes","301.3605/J86  Más información"
"Journal of Urban Planning and Development","Cerrado","Parcial","Revistas","Más información"
"Latindex  Sistema Regional de Información en Línea para Revistas Científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Latinobarómetro 1995-2013","Abierto","Completo","Estadísticas","Más información"
"Le Monde","Abierto","Parcial","Periódicos","Más información"
"Library of Congress","Abierto","Parcial","Audio  , Bibliografía  , Biblioteca Digital  , D...","Más información"
"Libros. Centro Boliviano de Estudios Multidisciplinarios","Abierto","Parcial","Biblioteca Digital","Más información"
"Librunam","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"Lincoln Institute of Land Policy: Publications & Multimedia","Abierto","Completo","Videos  , Documentos de Trabajo  , Biblioteca Dig...","Más información"
"Mediateca Digital COLMEX","Abierto","No Aplica","Videos  , Audio","Más información"
"Mediatico.com","Abierto","Parcial","Periódicos","Más información"
"Metabase  Bibliografía en red","Abierto","Referencia","Revistas","RE/016.9728 Más información"
"Microsoft Academic Search","Abierto","Parcial","Revistas  , Falta determinar  , Artículos de Rev...","Más información"
"Migraciones","Abierto","Completo","Revistas","325.05/M6363  Más información"
"Milenio","Abierto","Parcial","Periódicos","Más información"
"MIT OpenCourseWare","Abierto","No Aplica","Falta determinar","Más información"
"New York Times, The","Abierto","Parcial","Periódicos","Más información"
"Notas de población","Abierto","Parcial","Revistas  , Reseñas","301.3205/N8992 Más información"
"NYPL Digital Gallery","Cerrado","Parcial","Videos  , Imágenes  , Fotografías","Más información"
"OAIster","Cerrado","Completo","Biblioteca Digital","Más información"
"OAPEN","Abierto","Completo","Libros Electrónicos  , Biblioteca Digital","Más información"
"OASIS.Br","Abierto","Parcial","Revistas  , Artículos de Revistas","RE/016.05 Más información"
"OCLC FirstSearch","Cerrado","Parcial","Revistas","Más información"
"OECD iLibrary","Cerrado","Completo","Libros Electrónicos  , Revistas  , Estadísticas","Más información"
"Open Energy Information","Abierto","Parcial","Mapas  , Estadísticas  , Artículos de Revistas","Más información"
"OXFAM Policy & Practice: publications","Abierto","Completo","Documentos de Trabajo","Más información"
"Oxford Bibliographies","Cerrado","Referencia","Bibliografía","RE/025.063016  Más información"
"Oxford Handbooks Online","Cerrado","Parcial","Libros Electrónicos","Más información"
"Oxford Journals","Cerrado","Completo","Revistas","Más información"
"Papers in Regional Science","Cerrado","Parcial","Revistas","338.9/R335p Más información"
"Parametría","Abierto","Completo","Centro de Investigación  , Documentos de Trabajo...","Más información"
"Periódica  Índice de revistas latinoamericanas en ciencias","Abierto","Referencia","Revistas","IND/016.5/P445 Más información"
"Perspectivas Urbanas","Abierto","Completo","Revistas","Más información"
"Planes de Desarrollo urbano (Estado de México)","Cerrado","Completo","Publicaciones Oficiales","Más información"
"Population index on the web","Abierto","Completo","Bibliografía","Más información"
