"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Académica : innovación digital de conocimiento","Abierto","Completo","Biblioteca Digital  , Revistas","Más información"
"African Centre for Women, Information and Communications Technology (ACWICT)","Abierto","Parcial","Documentos de Trabajo","Más información"
"Atkinson, Steven D., 1953-. Women online: research in women's studies using online database","Abierto","No Aplica","Estadísticas","396 A878w Más información"
"Atlas mundial de igualdad de género en la educación","Abierto","Completo","Información Geográfica","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Biblioteca Digital Andina","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Digital de Género","Abierto","Completo","Libros Electrónicos  , Artículos de Revistas","Más información"
"Biblioteca digital mundial","Abierto","Completo","Fotografías  , Biblioteca Digital","Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"Centro Universitario de Estudios de Género","Abierto","Referencia","Centro de Investigación","Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
"Comisión Económica para América Latina y el Caribe. Repositorio Digital","Abierto","Completo","Biblioteca Digital","Más información"
"Compludoc  base de datos de artículos de revistas","Abierto","Referencia","Revistas  , Resúmenes","RE/016.05 Más información"
"Desigualdades. International Research Network on Interdependent Inequalities in Latin America","Abierto","Completo","Documentos de Trabajo","Más información"
"Dialnet","Abierto","Parcial","Revistas","RE/016.5 Más información"
"DSpace@MIT","Abierto","Completo","Documentos de Trabajo  , Artículos de Revistas  ...","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"EBSCO Host Electronic Journal Service","Cerrado","Parcial","Revistas","Más información"
"EduDonor Index (Worldwide Directory of Grants for Educational Institutions)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"Electronic Collection Online","Cerrado","Referencia","Revistas","Más información"
"Electronic Journal of Human Sexuality","Abierto","Completo","Artículos de Revistas","Más información"
"Entidad de las Naciones Unidas para la Igualdad de Género y el Empoderamiento de las Mujeres. ONU Mujeres","Abierto","Completo","Publicaciones Oficiales  , Libros Electrónicos  ...","Más información"
"Estrategia Nacional para la Prevención del Embarazo en Adolescentes","Abierto","Completo","Documentos de Trabajo","Más información"
"Ford Foundation, The","Abierto","No Aplica","Financiamiento & Becas","Más información"
"From Suffrage to the Senate :  America's Political Women: An Encyclopedia of Leaders, Causes & Issues. 2006.","Abierto","No Aplica","Libros Electrónicos","Más información"
"Girls’ and Women’s Right to Education","Abierto","Completo","Guías","Más información"
"Glosario de términos sobre violencia contra la mujer","Abierto","Completo","Diccionarios","Más información"
"Hemeroteca Digital de la Biblioteca Nacional de España","Cerrado","Parcial","Biblioteca Digital","Más información"
"Humanities Text Initiative","Abierto","Completo","Biblioteca Digital","Más información"
"Humboldt University Berlin","Abierto","Completo","Biblioteca Digital","Más información"
"John Simon Guggenheim Memorial Foundation","Abierto","Referencia","Financiamiento & Becas","Más información"
"Justicia y género","Abierto","Parcial","Publicaciones Oficiales","Más información"
"La educación y su compromiso","Cerrado","Completo","Revistas","DC/1604 Más información"
"La manzana : revista internacional de estudios sobre masculinidades","Abierto","Completo","Revistas","Más información"
"LANIC: Gender and women studies","Abierto","Parcial","Guías","Más información"
"Latindex  Sistema Regional de Información en Línea para Revistas Científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Le Monde","Abierto","Parcial","Periódicos","Más información"
"Library of Congress","Abierto","Parcial","Audio  , Bibliografía  , Biblioteca Digital  , D...","Más información"
"Librunam","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"Marco jurídico nacional e internacional relativo a las mujeres y el medio ambiente [disco compacto]","Abierto","Parcial","Publicaciones Oficiales","DC/1935 Más información"
"Mediateca Digital COLMEX","Abierto","No Aplica","Videos  , Audio","Más información"
"Mediatico.com","Abierto","Parcial","Periódicos","Más información"
"Medline","Cerrado","Referencia","Revistas","Más información"
"Metabase  Bibliografía en red","Abierto","Referencia","Revistas","RE/016.9728 Más información"
"Microsoft Academic Search","Abierto","Parcial","Revistas  , Falta determinar  , Artículos de Rev...","Más información"
"Milenio","Abierto","Parcial","Periódicos","Más información"
"MIT OpenCourseWare","Abierto","No Aplica","Falta determinar","Más información"
"Mujeres y hombres en Guanajuato [disco compacto].","Abierto","No Aplica","Estadísticas","DC/1137 Más información"
"Naciones Unidas. División de Estadística. Wistat: base de datos de indicadores y estadísticas sobre la mujer (versión 3)","Abierto","No Aplica","Estadísticas","DC/1603 Más información"
"New York Times, The","Abierto","Parcial","Periódicos","Más información"
"Nineteenth Century Collections Online: WOMEN TRANSNATIONAL NETWORKS","Cerrado","Completo","Artículos de Revistas  , Imágenes  , Fuentes Pr...","Más información"
"NYPL Digital Gallery","Cerrado","Parcial","Videos  , Imágenes  , Fotografías","Más información"
"OAIster","Cerrado","Completo","Biblioteca Digital","Más información"
"OAPEN","Abierto","Completo","Libros Electrónicos  , Biblioteca Digital","Más información"
