"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Academia Mexicana de la Lengua","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Académica : innovación digital de conocimiento","Abierto","Completo","Biblioteca Digital  , Revistas","Más información"
"Acervo Digital de Lenguas Indígenas","Abierto","Falta determinar","Videos  , Fotografías  , Audio","Más información"
"Acervos digitales : Universidad de las Américas – Puebla","Abierto","Completo","Periódicos  , Libros Electrónicos  , Fotografí...","Más información"
"ACLS Humanities E-book","Cerrado","Completo","Libros Electrónicos","Más información"
"Annual Reviews","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
"Anthropological Linguistics","Cerrado","Parcial","Revistas","401.05/A636 Más información"
"Applied Psycholinguistics","Cerrado","Parcial","Revistas","401.9/A648 Más información"
"Aproximaciones a la traducción","Abierto","Referencia","Bibliografía","Más información"
"Archivo de Lenguas Indígenas","Abierto","Parcial","Bibliografía","Más información"
"Archivo de los Idiomas Indígenas de América Latina","Cerrado","Parcial","Audio","Más información"
"Atlas interactivo de la entonación del Español","Abierto","Referencia","Audio  , Información Geográfica  , Mapas","Más información"
"Atlas of Pidgin and Creole Language Structures Online","Abierto","Referencia","Bibliografía  , Información Geográfica  , Mapas","Más información"
"Atlas sintáctico del Español","Abierto","Referencia","Corpus","Más información"
"Base de datos terminológica multilingüística de las Naciones Unidas (UNTERM)","Abierto","Parcial","Corpus  , Libros Electrónicos","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Biblioteca de Traducciones Españolas","Abierto","Parcial","Bibliografía","Más información"
"Biblioteca de Traducciones Hispanoamericanas","Abierto","Parcial","Bibliografía","Más información"
"Biblioteca de Traductores","Abierto","Completo","Libros Electrónicos  , Bibliografía","Más información"
"Biblioteca Digital Andina","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca digital del ILCE","Abierto","Parcial","Biblioteca Digital","Más información"
"Biblioteca digital mundial","Abierto","Completo","Fotografías  , Biblioteca Digital","Más información"
"Biblioteca Virtual de la Filología Española","Abierto","Parcial","Biblioteca Digital","Más información"
"Biblioteca Virtual. Antigua Escuela de Traductores de Toledo","Abierto","Completo","Reportes Técnicos  , Biblioteca Digital","Más información"
"Biblioteca Virtual. Biblioteca Luis Ángel Arango","Abierto","Parcial","Videos  , Imágenes  , Biblioteca Digital","Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"Cahiers de Lexicologie","Abierto","Completo","Revistas","DEM/413.05/C132 Más información"
"Cahiers de Linguistique Hispanique Médiévale","Abierto","Completo","Revistas","461.7/U58c Más información"
