"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Academia Mexicana de Ciencias: Publicaciones ambientales","Abierto","Completo","Libros Electrónicos","Más información"
"ACE: Architecture, City and Environment","Abierto","Completo","Revistas","Más información"
"Ambiente e Sociedade","Abierto","Completo","Revistas","Más información"
"Annual Review of Environment and Resources","Cerrado","Completo","Revistas","Más información"
"Annual Reviews","Cerrado","Completo","Artículos de Revistas  , Revistas","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Biblioteca Ayacucho Digital","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Digital del Instituto Mexicano de Tecnología del Agua","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Virtual. Biblioteca Luis Ángel Arango","Abierto","Parcial","Videos  , Imágenes  , Biblioteca Digital","Más información"
"Biodiversidad Mexicana","Abierto","Completo","Videos","Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"Cambridge Journals","Cerrado","Completo","Revistas","Más información"
"Caribbean abstracts","Abierto","Referencia","Resúmenes","Más información"
"Centro Virtual de Información del Agua: Biblioteca temática","Abierto","Parcial","Reportes Técnicos  , Estadísticas  , Documentos...","Más información"
"CEPALSTAT","Abierto","Parcial","Publicaciones Oficiales  , Estadísticas","Más información"
"Choice reviews online","Cerrado","Completo","Revistas  , Reseñas","016.7805/Ch545 Más información"
"CODATU : Library","Abierto","Completo","Biblioteca Digital","Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
"Compludoc  base de datos de artículos de revistas","Abierto","Referencia","Revistas  , Resúmenes","RE/016.05 Más información"
"datos.gob.mx / Sistema de regionalización funcional de México","Abierto","Completo","Software  , Mapas  , Información Geográfica  , ...","Más información"
"Dialnet","Abierto","Parcial","Revistas","RE/016.5 Más información"
"Dictionary and introduction to global environmental governance","Abierto","No Aplica","Libros Electrónicos","REF/333.703 / S2679d/2009 Más información"
"DSpace@MIT","Abierto","Completo","Documentos de Trabajo  , Artículos de Revistas  ...","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"ECOLEX  a gateway to environmental law","Abierto","Completo","Publicaciones Oficiales  , Fuentes Primarias","Más información"
"Ecological economics","Cerrado","Completo","Revistas","301.305/E17 Más información"
"Economía, sociedad y territorio","Abierto","Completo","Revistas","304.205/E19 Más información"
"Ecosistemas: Revista Científica de Ecología y Medio Ambiente","Abierto","Completo","Artículos de Revistas","Más información"
"Editions de l’IHEAL","Abierto","Completo","Biblioteca Digital","Más información"
"EduDonor Index (Worldwide Directory of Grants for Educational Institutions)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"Emerald  Insight (Colección multidisciplinar + Backfiles + Colección ingeniería)","Cerrado","Parcial","Libros Electrónicos  , Artículos de Revistas","RE/016.65  Más información"
"Energy Journal","Cerrado","Completo","Revistas","333.905/E564 Más información"
"Environment and Development Economics","Cerrado","Parcial","Revistas","301.305/E612 Más información"
"Environment and Planning A","Cerrado","Completo","Revistas","309.2405/E61 Más información"
"Environment and Planning B: Planning and Design","Cerrado","Completo","Revistas","720.5/E61 Más información"
"Environment and Planning D: Society and Space (","Cerrado","Parcial","Revistas  , Resúmenes","300.5/E61 Más información"
"Environment and Urbanization","Cerrado","Parcial","Revistas","301.3605/ E811 Más información"
"Estudios Demográficos y Urbanos (1986- )","Cerrado","Parcial","Revistas","312.05/E82 Más información"
"ETDEWEB World Energy Base","Abierto","Completo","Biblioteca Digital","Más información"
"European Investment Bank (EIB)","Abierto","Completo","Documentos de Trabajo","Más información"
"European Planning Studies","Cerrado","Completo","Revistas","Más información"
"Food and Energy Study","Cerrado","Completo","Revistas","Más información"
"Fuentes de información en ciencias sociales y humanidades","Abierto","Completo","Guías  , Bibliografía","REF/016.3/G2455f Más información"
"Gaceta Ecológica","Abierto","Completo","Revistas","301.3097205/G121 Más información"
"Global Environmental Change","Cerrado","Completo","Revistas","301.305/G5622 Más información"
"Global Environmental Politics","Cerrado","Completo","Revistas","Más información"
"Global issues in context: agribusiness","Cerrado","Completo","Documentos de Trabajo  , Artículos de Revistas","Más información"
"Global Issues in Context: Agriculture and Climate Change","Cerrado","Completo","Estadísticas  , Artículos de Revistas","Más información"
"GreenFILE","Cerrado","Completo","Artículos de Revistas","Más información"
"Handbook on climate change and agriculture","Abierto","No Aplica","Libros Electrónicos","338.14 / H23617 Más información"
"HighWire press","Abierto","Parcial","Revistas  , Reseñas  , Artículos de Revistas","Más información"
"HLAS Handbook of Latin American Studies Online","Abierto","Referencia","Bibliografía","Más información"
"Housing Studies","Cerrado","Completo","Revistas","Más información"
"Instituto Mexicano para la Competitividad A.C.","Abierto","Completo","Audio  , Centro de Investigación  , Documentos d...","Más información"
"Instituto Nacional de Ecología y Cambio Climático: publicaciones","Abierto","Parcial","Publicaciones Oficiales  , Fuentes Primarias","Más información"
"Instituto Nacional de Estadística y Geografía (INEGI)","Abierto","Parcial","Información Geográfica  , Estadísticas","Más información"
"International Climate Initiative","Abierto","Parcial","Centro de Investigación  , Videos","Más información"
"International Commission on Large Dams","Cerrado","Parcial","Diccionarios  , Directorios  , Reportes Técnicos","Más información"
"International Institute for Sustainable Development.","Abierto","Parcial","Videos  , Publicaciones Oficiales  , Documentos d...","Más información"
"International Renewable Energy Agency","Abierto","Parcial","Fuentes Primarias  , Estadísticas","Más información"
"Investigación ambiental Ciencia y política pública","Abierto","Completo","Artículos de Revistas","Más información"
"Investigaciones Regionales","Abierto","Completo","Revistas","Más información"
"John Simon Guggenheim Memorial Foundation","Abierto","Referencia","Financiamiento & Becas","Más información"
"Journal of Environmental Economics and Management","Abierto","Completo","Revistas","301.305/J862 Más información"
"Latindex  Sistema Regional de Información en Línea para Revistas Científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Latinobarómetro 1995-2013","Abierto","Completo","Estadísticas","Más información"
"Le Monde","Abierto","Parcial","Periódicos","Más información"
"Letras verdes: Revista Latinoamericana de Estudios Socioambientales","Abierto","Completo","Artículos de Revistas","Más información"
"Library of Congress","Abierto","Parcial","Audio  , Bibliografía  , Biblioteca Digital  , D...","Más información"
"Libros. Centro Boliviano de Estudios Multidisciplinarios","Abierto","Parcial","Biblioteca Digital","Más información"
"Librunam","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"Lincoln Institute of Land Policy: Publications & Multimedia","Abierto","Completo","Videos  , Documentos de Trabajo  , Biblioteca Dig...","Más información"
"Mediateca Digital COLMEX","Abierto","No Aplica","Videos  , Audio","Más información"
"Mediatico.com","Abierto","Parcial","Periódicos","Más información"
"Metabase  Bibliografía en red","Abierto","Referencia","Revistas","RE/016.9728 Más información"
"Microsoft Academic Search","Abierto","Parcial","Revistas  , Falta determinar  , Artículos de Rev...","Más información"
"Milenio","Abierto","Parcial","Periódicos","Más información"
"MIT OpenCourseWare","Abierto","No Aplica","Falta determinar","Más información"
"National Science Foundation","Abierto","Parcial","Reportes Técnicos  , Financiamiento & Becas  , E...","Más información"
"Natural Resources Forum","Abierto","Parcial","Revistas","333.72/N2856 Más información"
"New York Times, The","Abierto","Parcial","Periódicos","Más información"
"NYPL Digital Gallery","Cerrado","Parcial","Videos  , Imágenes  , Fotografías","Más información"
