Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"Chatham House Online Archive","no","N/A","https://infotrac.gale.com/itweb/colmex?db=CHOA","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","20191030","Inglés","CEI  , CEH","Sociología  , Relaciones Internacionales  , Historia  , Ciencia Política  , Administración Pública","N/A","N/A","Chatham House, también conocida como Royal Institute of International Affairs, es una organización no gubernamental con sede en Londres, fundada en 1920. Su misión es analizar y promover la comprensión de asuntos internacionales y de actualidad. El Chatham House Online Archive es un archivo en línea especializado en asuntos internacionales. Cubre más de 90 años de documentación, análisis e investigación de tendencias globales y eventos claves de la política internacional. Un componente notable del archivo son las conferencias dictadas en Chatham House por expertos en asuntos internacionales de 1920 en adelante. Dichas conferencias están disponibles en grabaciones de audio con sus respectivas transcripciones.

La cobertura temática del archivo incluye dos módulos. El primer módulo (1920-1979) cubre desde la conferencia de paz en Paris en 1919, hasta la caída de Shah de Irán en 1979, pasando por la Segunda Guerra Mundial, la Guerra Fría y la crisis de Suez. El segundo módulo (1980-2008) cubre la integración europea, la caída del muro de Berlín, el fin de los regímenes comunistas en el este de Europa, el conflicto en Medio Oriente, el fin del Apartheid en Sudáfrica, la expansión de la globalización y las preocupaciones respecto al cambio climático.","N/A","2019-10-30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"68","no","si","http://68.colmex.mx/","N/A","Base de Datos","Abierto","N/A","El Colegio de México","N/A","Español","CES  , BIBLIOTECA","Ciencia Política","N/A","N/A","En 1968 María de los Ángeles Knochenhauer transcribió con una máquina de escribir 597 documentos, indispensables para quienes desean ir a las fuentes primarias. En el 2015 autorizó a la Biblioteca Daniel de El Colegio de México para digitalizar y ordenar los documentos con diferentes criterios: título, descripción, autor, fechas, etcétera.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"A dictionary of modern politics","si","N/A","N/A","N/A","Obra de referencia","Falta determinar","N/A","Otros","N/A","Inglés","CEI","Ciencia Política","N/A","Política ; Diccionarios","London : Europa Publications2002 x, 515 p. ; 24 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"A Discourse Upon The Origin and The Foundation Of The Inequality Among Mankind","no","N/A","http://www.fordham.edu/halsall/mod/1782rousseau-inequal.asp","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Inglés","CEI","Ciencia Política  , Filosofía","N/A","Igualdad ; Filosofía","Texto completo en formato html del  |Discurso sobre el origen y los fundamentos de la desigualdad entre los hombres| de Jean-Jacques Rousseau. El texto es parte de Internet Ancient History Sourcebook, Fordham University.","N/A","2014-11-06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"A pocket guide to writing in history","si","N/A","http://200.52.255.191/F/?func=find-b&request=pocket+guide+to+writing+in+history&find_code=WTI&adjacent=Y&x=34&y=7&filter_code_1=WLN&filter_request_1=&filter_code_2=WYR&filter_request_2=&filter_code_4=WFT&filter_request_4=&filter_code_3=WYR&filter_request_","N/A","N/A","Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Redacción ; Estilos bibliográficos ; Historiografía ; Manuales","Ofrece lineamientos y sugerencias para la redacción de textos académicos y otros documentos de investigación para estudiantes de historia. Ofrece múltiples ejemplos además de una guía de sitios de interés en Internet. Incluye índice analítico.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ABC del género en la administración pública","no","N/A","http://ciudadessegurasparalasmujeres.org.mx/2016/documentos/ABCAdminPublica.pdf","N/A","Obra de referencia","Abierto","N/A","Otros","N/A","Español","PIEM","Estudios de Género","N/A","Administración pública -- glosarios","Se ogrece un recurso metodológico para las personas interesadas en conocer los alcances de la perspectiva de género y aplicación en el diseño de políticas públicas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academia Mexicana de Ciencias: Publicaciones ambientales","no","N/A","http://www.amc.edu.mx/p5/index.php?option=com_content&view=article&id=68&Itemid=86","N/A","Sitio Web","Abierto","N/A","Otros","2013-00-00","Español","CEDUA","Estudios Urbanos   , Medio Ambiente","N/A","Medio ambiente ; Ciencia ; Agua ; Desarrollo sostenible","La Academia Mexicana de Ciencias ofrece un portal de libros electrónicos en formato PDF para divulgación de los materiales de los miembros que conforman la Academia. Contiene libros de divulgación científica y temas asociados a las ciencias y disciplinas como biología, estadística, población, medio ambiente entre otros. Cuenta con una plataforma en la que se enlistan los materiales y también es posible acceder al texto completo de las revistas de la asociación.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academia Mexicana de Estudios de Género de los Hombres A.C.","no","N/A","http://www.amegh.mx/index.html","N/A","Sitio Web","Abierto","N/A","Otros","2016","Español","PIEM","Estudios de Género","N/A","Masculinidad ; Estudios de Género","Es un sitio que compila recursos de masculinidad por académicos de la Universidad Autónoma de la Ciudad de México","N/A","2016-12-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academia Mexicana de la Historia","no","N/A","http://www.acadmexhistoria.org.mx/","N/A","N/A","Abierto","N/A","Otros","2014-00-00","N/A","N/A","N/A","N/A","Historia ; México ; Asociaciones de profesionales","Sitio web de la Academia Mexicana de la Historia en el que se encuentran documentos sobre su historia, publicaciones y fotografías.   Además de información sobre sus miembros, así como sus discursos de ingreso.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academia Mexicana de la Lengua","no","N/A","http://www.academia.org.mx/index2.php","N/A","Obra de referencia  , Libro electrónico","Abierto","N/A","Academia Mexicana de la Lengua","2014-00-00","Español","CELL","Lingüística","N/A","Lingüística ; Asociaciones de profesionales","Brinda información sobre su historia, miembros, estructura. Ofrece diccionarios, refranero mexicano, español inmediato, entre otros.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
