"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Africa is a Country","Abierto","Completo","Fotografías  , Imágenes  , Videos","Más información"
"Africa Portal","Abierto","Completo","Biblioteca Digital  , Directorios","Más información"
"Africa Resources","Abierto","Referencia","Mapas  , Fotografías  , Enciclopedias","Más información"
"Africa South of the Sahara: selected internet resources","Abierto","Parcial","Guías  , Bibliografía","Más información"
"Africa update","Abierto","Completo","Revistas","Más información"
"African American and African studies","Abierto","Parcial","Guías  , Centro de Investigación","Más información"
"African Centre for Women, Information and Communications Technology (ACWICT)","Abierto","Parcial","Documentos de Trabajo","Más información"
"African communist","Abierto","Completo","Revistas","329.968/A258 Más información"
"African languages at Michigan State University","Abierto","Parcial","Guías","Más información"
"African newspapers, magazines and news sites in english","Abierto","Parcial","Periódicos","Más información"
"African studies quarterly : the online journal of african studies","Abierto","Completo","Revistas","Más información"
"African studies review","Cerrado","Completo","Revistas","960/A2587 Más información"
"African Women's Development and Communications Network [FEMNET]","Abierto","Parcial","Revistas","Más información"
"AfricanFiles","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"All Africa.com","Abierto","Parcial","Imágenes","Más información"
"Apartheid Museum","Abierto","Completo","Videos  , Imágenes  , Fotografías","Más información"
"Archive of African Artists","Abierto","No Aplica","Imágenes","Más información"
"ARI: Academic Institutions on Africa","Abierto","Parcial","Guías","Más información"
"Biblioteca africana","Abierto","Completo","Biblioteca Digital","Más información"
"Cahiers d'études africaines","Cerrado","Completo","Revistas","Más información"
"Canadian journal of  african studies","Cerrado","Completo","Revistas","916.005/C212 Más información"
"CEAA: Centro de Estudios de Asia y África","Abierto","Referencia","Guías","Más información"
"Centro de Estudios de Asia y África","Abierto","Parcial","Guías","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"Estudios de Asia y África","Cerrado","Completo","Revistas","950.05/E82 Más información"
"Ford Foundation, The","Abierto","No Aplica","Financiamiento & Becas","Más información"
"H-Africa: academic programs in Áfrican Studies","Abierto","Referencia","Bibliografía  , Guías","Más información"
"História Geral de Cabo Verde","Abierto","Completo","Libros Electrónicos","Más información"
"History in Africa: a Journal of metho","Cerrado","Parcial","Revistas","960.05/H673 Más información"
"Internet African History Sourcebook","Abierto","Parcial","Directorios","Más información"
"Jeune Afrique L´intelligent","Cerrado","Falta determinar","Revistas","960.05/J581 Más información"
"Libya","Abierto","Completo","Fotografías  , Imágenes  , Información Geográ...","Más información"
"Map and Imagery Collections","Cerrado","Parcial","Mapas  , Imágenes","Más información"
"Mideast Wire.com","Cerrado","Completo","Periódicos","Más información"
"Nineteenth Century Collections Online: Europe and Africa: Commerce, Christianity, Civilization, and Conquest","Cerrado","Completo","Artículos de Revistas  , Fotografías  , Imágen...","Más información"
"Red de bibliotecas virtuales de ciencias sociales de América Latina y el Caribe (CLACSO)","Abierto","Completo","Biblioteca Digital","Más información"
"Review of African Political Economy","Cerrado","Parcial","Revistas","330.9605/R454 Más información"
"SAHO: South African History Online","Abierto","Completo","Artículos de Revistas  , Biografías  , Fotograf...","Más información"
"SAIIA: South African Institute of International Affairs","Abierto","Parcial","Financiamiento & Becas  , Organizaciones de Profe...","Más información"
"SIGI: Social Institutions and  Gender Index","Abierto","Completo","Información Geográfica  , Estadísticas","Más información"
"South African Government","Abierto","Parcial","Imágenes  , Publicaciones Oficiales  , Videos","Más información"
"South African Libraries and Archives","Abierto","Referencia","Bibliotecas","Más información"
"University of Wisconsin Digital Collections","Abierto","Completo","Biblioteca Digital  , Fotografías","Más información"
"Women in Africa history","Abierto","Completo","Biografías  , Fotografías","Más información"
